alpha1,alpha2,alpha3,alpha4,alpha5,bravo1,bravo2,bravo3,bravo4,bravo5,charlie1,charlie2,charlie3,charlie4,charlie5,other1,other2,other3,other4,other5
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Suggestion,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Love it,,,,,,,,,,,,,,,,,,,
Like it,Simple,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Good colour scheme,,,,,Looks like,Good logo,Appley,,,,,,,,Feature request,,,,
,,,,,,,,,,,,,,,,,,,
Suggestion,,,,,Not good,,,,,Old-fashioned,,,,,Good app,,,,
Love it,,,,,Pretty,,,,,Not good,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Too white,A-dot,,,,Like it,Good colour scheme,,,,Good continuity,,,,,Good survey,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Hard to read,Too condensed,Good concept,,,Too busy,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Clean,Best,,,,Like it,Good refresh,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Unique,,,,,Appley,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Good,Too simple,,,,Modern,Good,Fresh,,,Old-fashioned,Like it,,,,Thank you,Good work,,,
Nice,Simple,,,,Too busy,,,,,Simple,Good,Recognisable,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Too corporate,,,,,,,,,,OK,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Best,Clean,Recognisable,Good integration icon & word-mark,,Unpolished,Bad line,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,Good,,,,,,,,,,Thank you,Good app,,,
,,,,,,,,,,,,,,,,,,,
Old-fashioned,,,,,Best,Modern,,,,Don't need new brand,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,Best,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Looks like,,,,,Looks like,,,,,Suggestion,,,,,,,,,
Like it,,,,,Like it,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Looks weird,,,,,Fresh,Modern,,,,Boring,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Simple,Bad antenna,,,,Too busy,,,,,Don't need new brand,Best,,,,Don't need new brand,,,,
,,,,,,,,,,,,,,,Thank you,Good work,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Not good,Bad colour scheme,,,,Suggestion,,,,,Good colour scheme,,,,,Thank you,Good work,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cool,"Good logo, icon not",,,,Modern,Symmetrical,Nice,Looks like,,Classic,Love it,,,,Good survey,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Like it,Bad waves,Looks like,,,,,,,,,,,,,Feature request,Thank you,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Too simple,,,,,Appley,,,,,Like it,Bad font,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Thank you,Good work,,,
Old-fashioned,,,,,Modern,,,,,Good,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Modern,,,,,Too heavy,Bad colour scheme,,,,Good continuity,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Clean,Bold,,,,Appley,,,,,Unprofessional,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Best,Simple,Modern,,,Modern,Good,,,,Old-fashioned,,,,,Good app,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Nice,Simple,,,,Modern,Like it,,,,Old-fashioned,,,,,Thank you,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Best,,,,,,,,,,,,,,,Good work,Thank you,,,
,,,,,,,,,,,,,,,,,,,
Simple,Good integration icon & word-mark,,,,,,,,,,,,,,,,,,
Professional,,,,,Cheap,Nice,,,,Boring,Old-fashioned,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,Looks like,,,,,,,,,,,,,,
Good font,Good integration icon & word-mark,Looks like,,,Looks like,,,,,Good waves,,,,,Good survey,Good app,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,Good font,Good colour scheme,,,,,,,,,Good app,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Thank you,Good app,,,
,,,,,,,,,,,,,,,,,,,
,,,,,Not recognisable,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Good work,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Good app,Thank you,,,
,,,,,,,,,,,,,,,,,,,
Best,Good integration icon & word-mark,Good font,Catchy,,Bad colour scheme,Bad font,,,,Old-fashioned,Clean,Needs upgrade,,,,,,,
,,,,,,,,,,,,,,,Good app,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Clean,Simple,,,,Bad colour scheme,,,,,Old-fashioned,Good continuity,,,,Good app,Thank you,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Good survey,,,,
,,,,,,,,,,,,,,,,,,,
Good concept,,,,,,,,,,,,,,,Good work,Good app,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Good app,Thank you,,,
,,,,,,,,,,,,,,,,,,,
Nice,,,,,Too generic,,,,,Don't need new brand,,,,,Good app,,,,
,,,,,,,,,,,,,,,,,,,
"Good logo, icon not",,,,,"Good icon, logo not",,,,,Needs upgrade,Good,,,,,,,,
Best,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Good integration icon & word-mark,Bad icon,Like it,,,Good icon,Bad integration icon & word-mark,,,,,,,,,Good work,Thank you,,,
,,,,,Clean,Good antenna,,,,,,,,,,,,,
,,,,,Good,,,,,Old-fashioned,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Nice,Good font,,,,Good colour scheme,,,,,,,,,,Feature request,Thank you,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Thank you,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Thank you,Good app,,,
,,,,,,,,,,,,,,,Good work,,,,
,,,,,Too busy,"Good icon, logo not",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Nice,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Feature request,Thank you,Good app,,
,,,,,,,,,,,,,,,,,,,
Like it,Bad continuity,,,,Good refresh,,,,,Classic,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,Appley,,,,,Nice,Modern,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Thank you,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Nice,,,,,Thank you,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,"Good icon, logo not",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Love it,,,,,Appley,,,,,Old-fashioned,Like it,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Too white,,,,,Too busy,Bad shadow,,,,,,,,,Thank you,Good work,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Thank you,,,,
,,,,,,,,,,,,,,,,,,,
Modern,Too white,,,,Not recognisable,Not unique,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Good logo, icon not",,,,,Too generic,Looks like,,,,Clear,Good continuity,,,,,,,,
,,,,,,,,,,,,,,,Good work,Thank you,,,
,,,,,,,,,,,,,,,,,,,
Good logo,,,,,Best,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,Best,,,,,,,,,,,,,,
Looks like,,,,,Appley,Un-FOSS,,,,Too simple,Used to it,Needs upgrade,,,,,,,
Good contrast,Good readability,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Suggestion,,,,,Too colourful,,,,,Too thin,,,,,,,,,
,,,,,Modern,Good continuity,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Good integration icon & word-mark,,,,,Bad line,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Thank you,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"Good logo, icon not",,,,,"Good icon, logo not",,,,,Old-fashioned,Boring,,,,Good work,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Good contrast,Too white,,,,Good gradient,,,,,,,,,,Thank you,Good work,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Good integration icon & word-mark,Good font,Good readability,,,Bad name design,Good icon,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A-dot,Suggestion,Good font,Good readability,Recognisable,Bad font,Good icon,Suggestion,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,Modern,Good colour scheme,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A-dot,,,,,Suggestion,,,,,,,,,,,,,,
,,,,,Bad font,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,Bad name design,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,Bad contrast,Good icon,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Like it,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Too condensed,Asymmetrical,OK,,,Suggestion,Like it,Symmetrical,,,Good continuity,,,,,,,,,
Too generic,,,,,Appley,Best,,,,Looks like,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,Appley,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,Fresh,Good colour scheme,Nice,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Too white,,,,,Good continuity,Modern,,,,Old-fashioned,,,,,,,,,
Clean,,,,,Bad gradient,,,,,Catchy,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Good integration icon & word-mark,,,,,Bad contrast,,,,,Good readability,,,,,Good app,,,,
Nice,,,,,Old-fashioned,,,,,Bad colour scheme,,,,,,,,,
Too simple,,,,,Modern,Nice,,,,Old-fashioned,Like it,,,,,,,,
Good,,,,,Clear,,,,,Simple,Old-fashioned,Clean,,,Good work,Thank you,,,
Suggestion,,,,,Appley,Pretty,,,,Too thin,Too busy,Good logo,,,Good survey,,,,
Unique,Suggestion,,,,Not unique,Appley,Good icon,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Bad antenna,Suggestion,,,,Good line,Good waves,,,,Classic,,,,,Feature request,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Good antenna,Best,,,,Good line,,,,,"Good icon, logo not",,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Too corporate,Bad colour scheme,Too white,,,Bad gradient,Too busy,Like it,,,Elegant,Recognisable,Pretty,,,,,,,
,,,,,Bad line,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Clean,Simple,Light,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Not good,,,,,Cool,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A-dot,,,,,Bad antenna,,,,,,,,,,,,,,
OK,,,,,Good,,,,,Too generic,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Unclear app purpose,,,,,Bad colour scheme,Suggestion,,,,OK,,,,,Suggestion,,,,
,,,,,,,,,,,,,,,Thank you,,,,
,,,,,,,,,,,,,,,,,,,
Good font,Like it,Simple,"Good logo, icon not",,"Good icon, logo not",,,,,Good font,Recognisable,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Good app,Thank you,,,
,,,,,,,,,,,,,,,Good app,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Good logo,,,,,Like it,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Thank you,Good survey,,,
Clean,Un-FOSS,,,,Good antenna,Bad font,Bad contrast,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Good app,Good work,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Too bright,Nice,Question,,,Like it,,,,,Old-fashioned,,,,,Good app,Want to pay,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Good integration icon & word-mark,Good font,Good antenna,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Bad antenna,,,,,Bad line,Good icon,,,,Too busy,,,,,Good app,Good survey,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Nice,,,,,Bad gradient,,,,,Old-fashioned,Used to it,,,,Good app,Thank you,,,
Bad integration icon & word-mark,,,,,Not recognisable,Simple,,,,Too busy,Old-fashioned,,,,Good app,Thank you,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
A-dot,Good font,Bad colour scheme,Asymmetrical,Good concept,Good colour scheme,Too generic,Bad line,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Good contrast,Recognisable,Clear,,,Hard to read,Too busy,Too colourful,Good icon,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Minimalistic,Good readability,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Too corporate,Looks like,Un-FOSS,,,,,,,,Love it,,,,,Don't need new brand,Thank you,,,
,,,,,,,,,,,,,,,Good survey,Good app,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Good app,Good work,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Good font,,,,,Good icon,,,,,Good colour scheme,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Good font,Good antenna,,,,Appley,,,,,Bad antenna,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Good app,Thank you,,,
,,,,,,,,,,,,,,,,,,,
Clean,Good antenna,,,,Too colourful,Not unique,Unprofessional,,,Like it,Unique,Good colour scheme,Simple,,Thank you,Good work,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Too white,Looks like,,,,Appley,Bad line,,,,Good,Not catchy,Unclear app purpose,,,,,,,
Clean,Bold,,,,Too bright,Nice,Weak identity,,,Old-fashioned,Nice,,,,,,,,
Good antenna,Too heavy,,,,Modern,Good logo,,,,,,,,,Good app,Thank you,,,
,,,,,,,,,,,,,,,,,,,
,,,,,Bland,,,,,Classic,,,,,,,,,
Simple,Un-FOSS,,,,Too generic,Bad line,,,,Clean,Good colour scheme,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Best,Good font,Good antenna,Question,,,,,,,,,,,,,,,,
,,,,,Bad contrast,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Like it,,,,,Best,,,,,Old-fashioned,Like it,Boring,,,Good app,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Good logo,Clean,Professional,Too white,Strong identity,Bad waves,Bad shadow,Bad line,Suggestion,Bad name design,Too thin,Bad font,Bad colour scheme,,,,,,,
Bad waves,Good antenna,,,,Appley,Bad colour scheme,,,,Best,Used to it,,,,Thank you,Good work,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Clean,,,,,,,,,,,,,,,Good app,Thank you,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Old-fashioned,,,,,Too colourful,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,Bad name design,,,,,,,,,,,,,,
Nice,,,,,OK,,,,,Old-fashioned,,,,,Thank you,Good work,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Good work,Good app,,,
Weak identity,,,,,Bad contrast,,,,,Good continuity,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Looks like,,,,,Professional,,,,,Classic,Used to it,,,,,,,,
Professional,Looks like,,,,Professional,Good continuity,,,,Asymmetrical,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Nice,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Good integration icon & word-mark,,,,,Modern,Clean,Fresh,,,Classic,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Thank you,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
